Gene.stable.ID,Gene.name
ENSMUSG00000064372,MT-TP
ENSMUSG00000064371,MT-TT
ENSMUSG00000064370,MT-CYTB
ENSMUSG00000064369,MT-TE
ENSMUSG00000064368,MT-ND6
ENSMUSG00000064367,MT-ND5
ENSMUSG00000064366,MT-TL2
ENSMUSG00000064365,MT-TS2
ENSMUSG00000064364,MT-TH
ENSMUSG00000064363,MT-ND4
ENSMUSG00000065947,MT-ND4L
ENSMUSG00000064361,MT-TR
ENSMUSG00000064360,MT-ND3
ENSMUSG00000064359,MT-TG
ENSMUSG00000064358,MT-CO3
ENSMUSG00000064357,MT-ATP6
ENSMUSG00000064356,MT-ATP8
ENSMUSG00000064355,MT-TK
ENSMUSG00000064354,MT-CO2
ENSMUSG00000064353,MT-TD
ENSMUSG00000064352,MT-TS1
ENSMUSG00000064351,MT-CO1
ENSMUSG00000064350,MT-TY
ENSMUSG00000064349,MT-TC
ENSMUSG00000064348,MT-TN
ENSMUSG00000064347,MT-TA
ENSMUSG00000064346,MT-TW
ENSMUSG00000064345,MT-ND2
ENSMUSG00000064344,MT-TM
ENSMUSG00000064343,MT-TQ
ENSMUSG00000064342,MT-TI
ENSMUSG00000064341,MT-ND1
ENSMUSG00000064340,MT-TL1
ENSMUSG00000064339,MT-RNR2
ENSMUSG00000064338,MT-TV
ENSMUSG00000064337,MT-RNR1
ENSMUSG00000064336,MT-TF
ENSMUSG00000108753,GM45094
ENSMUSG00000108486,GM44836
ENSMUSG00000033970,RFC3
ENSMUSG00000000632,SEZ6
ENSMUSG00000055730,CES2A
ENSMUSG00000036097,SLF2
ENSMUSG00000055447,CD47
ENSMUSG00000027887,SYPL2
ENSMUSG00000087445,GM14286
ENSMUSG00000017670,ELMO2
ENSMUSG00000006356,CRIP2
ENSMUSG00000112974,GM18026
ENSMUSG00000055491,PPRC1
ENSMUSG00000034083,CCDC174
ENSMUSG00000101067,GM29007
ENSMUSG00000117965,AC141477.1
ENSMUSG00000067787,BLCAP
ENSMUSG00000036144,MEOX2
ENSMUSG00000106243,GM5050
ENSMUSG00000050860,PHOSPHO1
ENSMUSG00000042446,ZMYM4
ENSMUSG00000025469,MSX3
ENSMUSG00000021534,1700001L19RIK
ENSMUSG00000091060,MYOCOS
ENSMUSG00000043263,IFI209
ENSMUSG00000101409,1700122D07RIK
ENSMUSG00000020482,CCDC117
ENSMUSG00000113764,GM48617
ENSMUSG00000099811,GM28411
ENSMUSG00000059278,NAA38
ENSMUSG00000114052,GM48616
ENSMUSG00000093963,GM21909
ENSMUSG00000082981,POLR2K-PS
ENSMUSG00000116319,GM49429
ENSMUSG00000081719,GM13726
ENSMUSG00000103821,D430013B06RIK
ENSMUSG00000116368,CYP2D33-PS
ENSMUSG00000018381,ABI3
ENSMUSG00000073964,OLFR570
ENSMUSG00000026697,MYOC
ENSMUSG00000047361,GM973
ENSMUSG00000067786,NNAT
ENSMUSG00000082402,GM15621
ENSMUSG00000029401,RILPL2
ENSMUSG00000043310,OLFR571
ENSMUSG00000001755,COASY
ENSMUSG00000028687,MUTYH
ENSMUSG00000044795,CYB5D1
ENSMUSG00000026209,DNPEP
ENSMUSG00000110918,GM48862
ENSMUSG00000111778,GM30676
ENSMUSG00000067750,KHDC1A
ENSMUSG00000027225,DUOXA2
ENSMUSG00000111396,GM7333
ENSMUSG00000034723,TMX4
ENSMUSG00000039684,GM5422
ENSMUSG00000111610,GM34829
ENSMUSG00000045377,TMEM88
ENSMUSG00000115914,CYP2D34-PS
ENSMUSG00000075142,OLFR74
ENSMUSG00000063334,KRR1
ENSMUSG00000101463,GM28750
ENSMUSG00000082044,SNRPERT
ENSMUSG00000111335,GM39375
ENSMUSG00000029402,SNRNP35
ENSMUSG00000111850,GM47829
ENSMUSG00000111184,GM49661
ENSMUSG00000037514,PANK2
ENSMUSG00000052837,JUNB
ENSMUSG00000112007,GM18119
ENSMUSG00000089936,GM16199
ENSMUSG00000022468,ENDOU
ENSMUSG00000112912,GM48160
ENSMUSG00000102417,GM36939
ENSMUSG00000026963,TMEM210
ENSMUSG00000102456,GM37508
ENSMUSG00000061080,LSAMP
ENSMUSG00000027224,DUOXA1
ENSMUSG00000052926,RNASEH2A
ENSMUSG00000040187,ARNTL2
ENSMUSG00000112517,GM48001
ENSMUSG00000118204,4930414N06RIK
ENSMUSG00000101826,GM8581
ENSMUSG00000020713,GH
ENSMUSG00000020658,EFR3B
ENSMUSG00000102685,GM37373
ENSMUSG00000006392,MED8
ENSMUSG00000101151,GM17929
ENSMUSG00000026021,SUMO1
ENSMUSG00000108739,GM45096
ENSMUSG00000108657,GM35611
ENSMUSG00000028863,MEAF6
ENSMUSG00000035711,DOK3
ENSMUSG00000029049,MORN1
ENSMUSG00000086191,ZFP652OS
ENSMUSG00000087029,GM14133
ENSMUSG00000057000,NXF3
ENSMUSG00000085134,GM11659
ENSMUSG00000038611,PHRF1
ENSMUSG00000081494,GM14130
ENSMUSG00000117180,GM19399
ENSMUSG00000040592,CD79B
ENSMUSG00000023992,TREM2
ENSMUSG00000034957,CEBPA
ENSMUSG00000061062,GM10093
ENSMUSG00000026663,ATF6
ENSMUSG00000090777,CCDC188
ENSMUSG00000108624,GM45091
ENSMUSG00000074736,SYNDIG1
ENSMUSG00000038116,PHF20
ENSMUSG00000087547,PLATR27
ENSMUSG00000056888,GLIPR1
ENSMUSG00000032551,1110059G10RIK
ENSMUSG00000029076,SDF4
ENSMUSG00000052488,CHERP
ENSMUSG00000111050,GM47877
ENSMUSG00000001027,SCN4A
ENSMUSG00000035200,CHRNB4
ENSMUSG00000062793,OLFR1158
ENSMUSG00000082498,GM12937
ENSMUSG00000074737,C530025M09RIK
ENSMUSG00000018401,MTMR4
ENSMUSG00000081345,OLFR1159-PS1
ENSMUSG00000028830,AU040320
ENSMUSG00000117245,GM49887
ENSMUSG00000094873,GM13812
ENSMUSG00000045019,ACER1
ENSMUSG00000109873,GM45407
ENSMUSG00000026835,FCNB
ENSMUSG00000109732,GM45285
ENSMUSG00000117810,GM8934
ENSMUSG00000084160,GM13345
ENSMUSG00000097882,0610038B21RIK
ENSMUSG00000118309,GM50261
ENSMUSG00000036775,DECR2
ENSMUSG00000026734,4921504E06RIK
ENSMUSG00000095203,GM13810
ENSMUSG00000023330,DTWD1
ENSMUSG00000035356,NFKBIZ
ENSMUSG00000117735,GM18963
ENSMUSG00000026659,DUSP12
ENSMUSG00000117932,GM21046
ENSMUSG00000037148,ARHGAP10
ENSMUSG00000002660,CLPP
ENSMUSG00000111943,GM47862
ENSMUSG00000118271,GM50262
ENSMUSG00000038179,SLAMF7
ENSMUSG00000020102,SLC16A7
ENSMUSG00000115145,GM35166
ENSMUSG00000026388,3110009E18RIK
ENSMUSG00000037536,FBXO34
ENSMUSG00000002661,ALKBH7
ENSMUSG00000073406,H2-BL
ENSMUSG00000023333,GCM1
ENSMUSG00000094559,CYP2D34
ENSMUSG00000024076,VIT
ENSMUSG00000091812,EAR-PS5
ENSMUSG00000105089,GM43717
ENSMUSG00000106704,GM42799
ENSMUSG00000054892,TXK
ENSMUSG00000106689,GM18345
ENSMUSG00000062148,EAR6
ENSMUSG00000083055,GM14140
ENSMUSG00000055817,MTA3
ENSMUSG00000002664,PSPN
ENSMUSG00000022043,TRIM35
ENSMUSG00000103219,GM37787
ENSMUSG00000086621,GM13348
ENSMUSG00000053925,GM9929
ENSMUSG00000086194,GM16329
ENSMUSG00000115908,CYP2D35-PS
ENSMUSG00000107386,GM42800
ENSMUSG00000118516,AC118710.1
ENSMUSG00000070524,FCRLB
ENSMUSG00000025498,IRF7
ENSMUSG00000080227,GM13343
ENSMUSG00000031250,TNMD
ENSMUSG00000068134,ZFP120
ENSMUSG00000022913,PSMG1
ENSMUSG00000073963,OLFR572
ENSMUSG00000021945,ZMYM2
ENSMUSG00000043415,OTUD1
ENSMUSG00000116130,GM49431
ENSMUSG00000094436,GM16327
ENSMUSG00000006014,PRG4
ENSMUSG00000052785,OLFR573-PS1
ENSMUSG00000083893,GM13347
ENSMUSG00000095332,GM9821
ENSMUSG00000087246,GM13346
ENSMUSG00000085984,1700001G11RIK
ENSMUSG00000028747,HTR6
ENSMUSG00000110639,GM6831
ENSMUSG00000096276,GM2042
ENSMUSG00000032564,CPNE4
ENSMUSG00000089838,GM2962
ENSMUSG00000050445,CYP8B1
ENSMUSG00000038421,FCRLA
ENSMUSG00000103979,GM20305
ENSMUSG00000029649,POMP
ENSMUSG00000052794,1700030K09RIK
ENSMUSG00000038806,SDE2
ENSMUSG00000111141,GM47115
ENSMUSG00000103213,GM38289
ENSMUSG00000112716,4930471E19RIK
ENSMUSG00000107326,GM43038
ENSMUSG00000109803,GM45604
ENSMUSG00000112510,GM47566
ENSMUSG00000066677,IFI208
ENSMUSG00000021886,GPR65
ENSMUSG00000041722,KHDC1C
ENSMUSG00000020481,ANKRD36
ENSMUSG00000000552,ZFP385A
ENSMUSG00000050199,LGR4
ENSMUSG00000112895,GM47567
ENSMUSG00000081243,GM14037
ENSMUSG00000045824,OLFR574
ENSMUSG00000107241,GM43129
ENSMUSG00000075141,OLFR1160
ENSMUSG00000083879,GM14038
ENSMUSG00000006398,CDC20
ENSMUSG00000116841,GM49737
ENSMUSG00000103105,GM18752
ENSMUSG00000116990,GM49738
ENSMUSG00000045150,OLFR1161
ENSMUSG00000053205,STYX
ENSMUSG00000060166,ZDHHC8
ENSMUSG00000026959,GRIN1
ENSMUSG00000115570,GM48986
ENSMUSG00000017204,GSDMA
ENSMUSG00000026389,STEAP3
ENSMUSG00000109739,GM17949
ENSMUSG00000107079,GM35648
ENSMUSG00000075140,OLFR73
ENSMUSG00000091415,AK9
ENSMUSG00000029306,IBSP
ENSMUSG00000060512,0610040J01RIK
ENSMUSG00000007670,KHSRP
ENSMUSG00000028560,USP1
ENSMUSG00000105335,GM42423
ENSMUSG00000038085,CNBD2
ENSMUSG00000075139,OLFR1162
ENSMUSG00000047417,REXO1
ENSMUSG00000103083,A630035G10RIK
ENSMUSG00000006390,ELOVL1
ENSMUSG00000106090,GM43704
ENSMUSG00000110822,GM18305
ENSMUSG00000103137,GM37981
ENSMUSG00000048988,ELFN1
ENSMUSG00000111601,GM18986
ENSMUSG00000103017,GM37505
